x,y
-0.46185567,3.609625668
-0.46185567,4.545454545
-0.46185567,4.545454545
-0.156701031,6.550802139
-0.156701031,7.887700535
-0.148453608,9.090909091
0.140206186,9.35828877
0.156701031,12.43315508
0.156701031,13.36898396
0.453608247,3.743315508
0.437113402,4.812834225
0.445360825,6.28342246
0.750515464,14.70588235
0.750515464,14.70588235
0.750515464,18.44919786
1.055670103,31.81818182
1.04742268,36.09625668
1.063917526,43.44919786
1.344329897,36.4973262
1.360824742,40.77540107
1.360824742,58.15508021
1.641237113,60.42780749
1.649484536,67.2459893
1.649484536,96.39037433
1.93814433,67.9144385
1.929896907,76.47058824
1.946391753,116.0427807
2.268041237,56.55080214
2.251546392,68.5828877
2.235051546,119.5187166
2.540206186,63.36898396
2.548453608,85.29411765
2.531958763,134.3582888
2.837113402,51.73796791
2.845360825,81.55080214
2.853608247,131.0160428
3.150515464,46.92513369
3.150515464,82.35294118
3.125773196,127.1390374
3.455670103,47.32620321
3.439175258,85.29411765
3.439175258,119.7860963
3.736082474,36.22994652
3.744329897,85.02673797
3.760824742,122.0588235
4.041237113,39.57219251
4.049484536,83.68983957
4.041237113,122.0588235
4.354639175,25.80213904
4.354639175,68.31550802
4.371134021,91.17647059
4.643298969,19.9197861
4.643298969,53.60962567
4.643298969,73.6631016
4.948453608,11.89839572
4.956701031,47.72727273
4.956701031,56.55080214
5.245360825,4.010695187
5.26185567,24.3315508
5.245360825,31.55080214
5.542268041,1.470588235
5.542268041,16.04278075
5.542268041,17.37967914
5.830927835,6.016042781
5.822680412,13.77005348
5.822680412,14.97326203
6.169072165,0.935828877
6.15257732,11.4973262
6.144329897,13.10160428
6.424742268,2.139037433
6.432989691,4.545454545
6.432989691,5.882352941
6.771134021,0.802139037
6.762886598,1.604278075
6.762886598,2.272727273